IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.245.231.85,2096,0,false,ORD,North America,Chicago,311,0.00
13.245.28.205,443,0,false,ORD,North America,Chicago,352,0.00
13.244.98.150,2086,0,false,ORD,North America,Chicago,297,0.00
13.244.142.40,2087,0,false,ORD,North America,Chicago,320,0.00
13.246.221.37,443,0,false,ORD,North America,Chicago,350,0.00
13.246.15.239,8080,0,false,ORD,North America,Chicago,344,0.00
13.245.28.205,2095,0,false,ORD,North America,Chicago,320,0.00
13.244.142.40,2095,0,false,ORD,North America,Chicago,302,0.00
13.247.14.165,80,0,false,ORD,North America,Chicago,325,0.00
13.246.194.180,2083,0,false,ORD,North America,Chicago,322,0.00
13.247.67.27,2096,0,false,ORD,North America,Chicago,319,0.00
13.246.39.84,2052,0,false,ORD,North America,Chicago,331,0.00
13.246.39.84,2095,0,false,ORD,North America,Chicago,353,0.00
13.245.229.15,2095,0,false,ORD,North America,Chicago,331,0.00
13.244.98.150,8443,0,false,ORD,North America,Chicago,317,0.00
13.247.55.252,2087,0,false,ORD,North America,Chicago,332,0.00
13.246.41.44,2095,0,false,ORD,North America,Chicago,306,0.00
13.246.11.121,8443,0,false,ORD,North America,Chicago,323,0.00
13.246.227.86,2083,0,false,ORD,North America,Chicago,299,0.00
13.247.59.148,2087,0,false,ORD,North America,Chicago,338,0.00
13.245.229.15,2086,0,false,ORD,North America,Chicago,348,0.00
13.245.197.227,2096,0,false,ORD,North America,Chicago,306,0.00
13.246.240.4,8443,0,false,ORD,North America,Chicago,358,0.00
13.246.221.37,2082,0,false,ORD,North America,Chicago,333,0.00
13.245.111.42,443,0,false,ORD,North America,Chicago,324,0.00
13.246.12.127,8443,0,false,ORD,North America,Chicago,340,0.00
13.244.142.40,8880,0,false,ORD,North America,Chicago,308,0.00
13.246.201.148,2053,0,false,ORD,North America,Chicago,309,0.00
13.245.28.155,2052,0,false,ORD,North America,Chicago,338,0.00
13.244.98.150,2095,0,false,ORD,North America,Chicago,307,0.00
13.245.229.15,2096,0,false,ORD,North America,Chicago,327,0.00
13.245.117.6,8443,0,false,ORD,North America,Chicago,344,0.00
13.245.229.15,2082,0,false,ORD,North America,Chicago,335,0.00
13.245.28.205,8080,0,false,ORD,North America,Chicago,321,0.00
13.244.142.40,8443,0,false,ORD,North America,Chicago,326,0.00
13.245.138.79,8080,0,false,ORD,North America,Chicago,328,0.00
13.247.62.71,8443,0,false,ORD,North America,Chicago,354,0.00
13.245.28.155,2087,0,false,ORD,North America,Chicago,333,0.00
13.246.12.127,2083,0,false,ORD,North America,Chicago,332,0.00
13.247.99.123,8443,0,false,ORD,North America,Chicago,306,0.00
13.245.197.227,2082,0,false,ORD,North America,Chicago,332,0.00
13.247.59.148,2053,0,false,ORD,North America,Chicago,327,0.00
13.246.227.86,8443,0,false,ORD,North America,Chicago,328,0.00
13.247.88.32,2096,0,false,ORD,North America,Chicago,325,0.00
13.245.117.6,2052,0,false,ORD,North America,Chicago,302,0.00
13.247.59.148,2052,0,false,ORD,North America,Chicago,326,0.00
13.245.231.85,2052,0,false,ORD,North America,Chicago,347,0.00
13.245.28.205,2086,0,false,ORD,North America,Chicago,333,0.00
13.247.67.27,8080,0,false,ORD,North America,Chicago,307,0.00
13.246.12.127,2086,0,false,ORD,North America,Chicago,310,0.00
13.245.138.79,2082,0,false,ORD,North America,Chicago,319,0.00
13.245.28.205,2087,0,false,ORD,North America,Chicago,323,0.00
13.245.231.85,8080,0,false,ORD,North America,Chicago,326,0.00
13.247.99.123,8080,0,false,ORD,North America,Chicago,320,0.00
13.247.59.148,443,0,false,ORD,North America,Chicago,353,0.00
13.246.39.84,8880,0,false,ORD,North America,Chicago,339,0.00
13.246.41.44,8443,0,false,ORD,North America,Chicago,308,0.00
13.246.240.4,2052,0,false,ORD,North America,Chicago,347,0.00
13.247.59.148,80,0,false,ORD,North America,Chicago,305,0.00
13.244.104.215,8880,0,false,ORD,North America,Chicago,328,0.00
13.246.15.239,443,0,false,ORD,North America,Chicago,308,0.00
13.246.227.86,2096,0,false,ORD,North America,Chicago,348,0.00
13.246.11.121,443,0,false,ORD,North America,Chicago,333,0.00
13.244.104.215,2096,0,false,ORD,North America,Chicago,342,0.00
13.247.55.252,80,0,false,ORD,North America,Chicago,336,0.00
13.245.231.85,8880,0,false,ORD,North America,Chicago,346,0.00
13.245.28.155,80,0,false,ORD,North America,Chicago,302,0.00
13.246.15.239,2096,0,false,ORD,North America,Chicago,306,0.00
13.245.237.18,2053,0,false,ORD,North America,Chicago,342,0.00
13.245.117.6,2086,0,false,ORD,North America,Chicago,321,0.00
13.245.197.227,2053,0,false,ORD,North America,Chicago,322,0.00
13.246.15.239,2083,0,false,ORD,North America,Chicago,316,0.00
13.245.111.42,2087,0,false,ORD,North America,Chicago,333,0.00
13.247.19.136,80,0,false,ORD,North America,Chicago,334,0.00
13.245.197.227,2052,0,false,ORD,North America,Chicago,326,0.00
13.246.11.121,2087,0,false,ORD,North America,Chicago,328,0.00
13.244.104.215,2052,0,false,ORD,North America,Chicago,345,0.00
13.245.111.53,2083,0,false,ORD,North America,Chicago,340,0.00
13.244.98.150,2052,0,false,ORD,North America,Chicago,308,0.00
13.245.28.205,80,0,false,ORD,North America,Chicago,307,0.00
13.245.231.85,2082,0,false,ORD,North America,Chicago,314,0.00
13.247.67.27,8880,0,false,ORD,North America,Chicago,315,0.00
13.244.104.215,2087,0,false,ORD,North America,Chicago,312,0.00
13.245.229.15,80,0,false,ORD,North America,Chicago,316,0.00
13.247.59.148,2082,0,false,ORD,North America,Chicago,316,0.00
13.245.237.18,443,0,false,ORD,North America,Chicago,320,0.00
13.246.201.148,80,0,false,ORD,North America,Chicago,348,0.00
13.245.111.53,8080,0,false,ORD,North America,Chicago,327,0.00
13.244.104.215,443,0,false,ORD,North America,Chicago,338,0.00
13.245.237.18,80,0,false,ORD,North America,Chicago,311,0.00
13.247.62.71,8080,0,false,ORD,North America,Chicago,338,0.00
13.246.11.121,2096,0,false,ORD,North America,Chicago,334,0.00
13.244.104.215,80,0,false,ORD,North America,Chicago,314,0.00
13.245.229.15,443,0,false,ORD,North America,Chicago,322,0.00
13.245.231.85,2095,0,false,ORD,North America,Chicago,325,0.00
13.246.41.44,8880,0,false,ORD,North America,Chicago,313,0.00
13.247.99.123,2086,0,false,ORD,North America,Chicago,318,0.00
13.247.62.71,2053,0,false,ORD,North America,Chicago,339,0.00
13.245.231.85,2087,0,false,ORD,North America,Chicago,309,0.00
13.245.229.15,2087,0,false,ORD,North America,Chicago,299,0.00
13.246.221.37,2087,0,false,ORD,North America,Chicago,304,0.00
13.246.39.84,2096,0,false,ORD,North America,Chicago,317,0.00
13.245.117.6,2082,0,false,ORD,North America,Chicago,346,0.00
13.245.111.53,80,0,false,ORD,North America,Chicago,330,0.00
13.247.88.32,2053,0,false,ORD,North America,Chicago,312,0.00
13.246.11.121,8880,0,false,ORD,North America,Chicago,337,0.00
13.246.184.110,80,0,false,ORD,North America,Chicago,350,0.00
13.246.39.84,8443,0,false,ORD,North America,Chicago,320,0.00
13.246.227.86,2053,0,false,ORD,North America,Chicago,321,0.00
13.245.138.79,2096,0,false,ORD,North America,Chicago,325,0.00
13.247.99.123,2096,0,false,ORD,North America,Chicago,324,0.00
13.247.55.252,2083,0,false,ORD,North America,Chicago,309,0.00
13.245.117.6,2053,0,false,ORD,North America,Chicago,329,0.00
13.246.221.37,8443,0,false,ORD,North America,Chicago,315,0.00
13.246.240.4,80,0,false,ORD,North America,Chicago,345,0.00
13.244.142.40,2096,0,false,ORD,North America,Chicago,352,0.00
13.244.98.150,2083,0,false,ORD,North America,Chicago,325,0.00
13.246.15.239,80,0,false,ORD,North America,Chicago,319,0.00
13.247.67.27,2082,0,false,ORD,North America,Chicago,327,0.00
13.244.62.156,8880,0,false,ORD,North America,Chicago,303,0.00
13.244.142.40,8080,0,false,ORD,North America,Chicago,302,0.00
13.245.138.79,443,0,false,ORD,North America,Chicago,353,0.00
13.244.104.215,2095,0,false,ORD,North America,Chicago,323,0.00
13.245.117.6,2095,0,false,ORD,North America,Chicago,339,0.00
13.247.88.32,2082,0,false,ORD,North America,Chicago,343,0.00
13.247.99.123,80,0,false,ORD,North America,Chicago,321,0.00
13.246.194.180,443,0,false,ORD,North America,Chicago,338,0.00
13.246.194.180,2095,0,false,ORD,North America,Chicago,303,0.00
13.247.99.123,443,0,false,ORD,North America,Chicago,341,0.00
13.245.117.6,80,0,false,ORD,North America,Chicago,318,0.00
13.244.142.40,443,0,false,ORD,North America,Chicago,355,0.00
13.246.89.44,80,0,false,ORD,North America,Chicago,349,0.00
13.246.221.37,2052,0,false,ORD,North America,Chicago,347,0.00
13.247.55.252,2095,0,false,ORD,North America,Chicago,324,0.00
13.245.111.42,2086,0,false,ORD,North America,Chicago,344,0.00
13.247.67.27,2095,0,false,ORD,North America,Chicago,333,0.00
13.246.41.44,2096,0,false,ORD,North America,Chicago,314,0.00
13.245.111.42,8443,0,false,ORD,North America,Chicago,330,0.00
13.246.194.180,2086,0,false,ORD,North America,Chicago,312,0.00
13.247.67.27,80,0,false,ORD,North America,Chicago,338,0.00
13.245.197.227,80,0,false,ORD,North America,Chicago,323,0.00
13.246.12.127,2052,0,false,ORD,North America,Chicago,325,0.00
13.247.99.123,2053,0,false,ORD,North America,Chicago,329,0.00
13.246.194.180,2082,0,false,ORD,North America,Chicago,331,0.00
13.245.111.42,80,0,false,ORD,North America,Chicago,333,0.00
13.245.111.53,2096,0,false,ORD,North America,Chicago,302,0.00
13.246.201.148,8080,0,false,ORD,North America,Chicago,331,0.00
13.246.12.127,8880,0,false,ORD,North America,Chicago,321,0.00
13.246.201.148,2087,0,false,ORD,North America,Chicago,326,0.00
13.246.201.148,2083,0,false,ORD,North America,Chicago,327,0.00
13.247.55.252,2082,0,false,ORD,North America,Chicago,326,0.00
13.245.28.205,2052,0,false,ORD,North America,Chicago,335,0.00
13.247.99.123,2095,0,false,ORD,North America,Chicago,313,0.00
13.245.28.205,8880,0,false,ORD,North America,Chicago,332,0.00
13.245.231.85,2053,0,false,ORD,North America,Chicago,328,0.00
13.245.231.85,2083,0,false,ORD,North America,Chicago,322,0.00
13.247.99.123,2083,0,false,ORD,North America,Chicago,302,0.00
13.247.55.252,443,0,false,ORD,North America,Chicago,327,0.00
13.245.138.79,2095,0,false,ORD,North America,Chicago,321,0.00
13.246.11.121,80,0,false,ORD,North America,Chicago,318,0.00
13.245.138.79,80,0,false,ORD,North America,Chicago,328,0.00
13.247.99.123,2087,0,false,ORD,North America,Chicago,352,0.00
13.246.227.86,443,0,false,ORD,North America,Chicago,329,0.00
13.245.117.6,2087,0,false,ORD,North America,Chicago,299,0.00
13.244.142.40,2053,0,false,ORD,North America,Chicago,328,0.00
13.246.221.37,2083,0,false,ORD,North America,Chicago,307,0.00
13.247.55.252,2053,0,false,ORD,North America,Chicago,329,0.00
13.246.201.148,2082,0,false,ORD,North America,Chicago,330,0.00
13.246.12.127,2082,0,false,ORD,North America,Chicago,338,0.00
13.245.28.155,443,0,false,ORD,North America,Chicago,304,0.00
13.245.28.155,2082,0,false,ORD,North America,Chicago,335,0.00
13.245.28.155,8443,0,false,ORD,North America,Chicago,307,0.00
13.247.99.123,8880,0,false,ORD,North America,Chicago,323,0.00
13.247.62.71,8880,0,false,ORD,North America,Chicago,308,0.00
13.245.117.6,2096,0,false,ORD,North America,Chicago,316,0.00
13.245.237.18,2087,0,false,ORD,North America,Chicago,348,0.00
13.245.28.155,2096,0,false,ORD,North America,Chicago,342,0.00
13.244.104.215,8443,0,false,ORD,North America,Chicago,316,0.00
13.247.99.123,2052,0,false,ORD,North America,Chicago,324,0.00
13.245.111.42,2082,0,false,ORD,North America,Chicago,334,0.00
13.246.15.239,2087,0,false,ORD,North America,Chicago,349,0.00
13.245.237.18,2096,0,false,ORD,North America,Chicago,319,0.00
13.246.12.127,2087,0,false,ORD,North America,Chicago,340,0.00
13.247.67.27,2083,0,false,ORD,North America,Chicago,311,0.00
